timestamp,actionType,actionID
2024-01-16-13:57:37.735,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:37.741,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:37.747,RECV,SimAct::SET_MASK
2024-01-16-13:57:37.748,SEND,SimAct::SET_MASK
2024-01-16-13:57:37.748,RECV,SimAct::SET_MASK
2024-01-16-13:57:37.749,SEND,SimAct::SET_MASK
2024-01-16-13:57:37.749,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:44.062,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:44.283,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:44.345,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:44.566,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:44.566,SEND,[Unknown SimAct]
2024-01-16-13:57:44.567,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:44.567,SEND,[Unknown SimAct]
2024-01-16-13:57:44.567,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:44.567,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:44.568,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:44.574,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:44.580,RECV,SimAct::SET_MASK
2024-01-16-13:57:44.580,SEND,SimAct::SET_MASK
2024-01-16-13:57:44.581,RECV,SimAct::SET_MASK
2024-01-16-13:57:44.581,SEND,SimAct::SET_MASK
2024-01-16-13:57:44.582,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:50.930,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:51.151,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:51.213,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:51.438,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:51.438,SEND,[Unknown SimAct]
2024-01-16-13:57:51.438,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:51.438,SEND,[Unknown SimAct]
2024-01-16-13:57:51.439,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:51.439,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:51.440,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:51.446,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:51.452,RECV,SimAct::SET_MASK
2024-01-16-13:57:51.452,SEND,SimAct::SET_MASK
2024-01-16-13:57:51.453,RECV,SimAct::SET_MASK
2024-01-16-13:57:51.453,SEND,SimAct::SET_MASK
2024-01-16-13:57:51.453,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:57.800,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:58.022,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:58.084,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:58.310,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:58.311,SEND,[Unknown SimAct]
2024-01-16-13:57:58.311,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:58.311,SEND,[Unknown SimAct]
2024-01-16-13:57:58.311,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:58.311,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:58.312,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:58.319,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:58.325,RECV,SimAct::SET_MASK
2024-01-16-13:57:58.326,SEND,SimAct::SET_MASK
2024-01-16-13:57:58.326,RECV,SimAct::SET_MASK
2024-01-16-13:57:58.326,SEND,SimAct::SET_MASK
2024-01-16-13:57:58.327,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:04.668,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:04.889,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:04.952,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:05.174,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:05.175,SEND,[Unknown SimAct]
2024-01-16-13:58:05.175,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:05.175,SEND,[Unknown SimAct]
2024-01-16-13:58:05.175,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:58:05.176,SEND,SimAct::MODEL_SETTING
2024-01-16-13:58:05.178,RECV,UtilAct::PRIV_ACT
2024-01-16-13:58:05.184,SEND,UtilAct::PRIV_ACT
2024-01-16-13:58:05.190,RECV,SimAct::SET_MASK
2024-01-16-13:58:05.191,SEND,SimAct::SET_MASK
2024-01-16-13:58:05.191,RECV,SimAct::SET_MASK
2024-01-16-13:58:05.191,SEND,SimAct::SET_MASK
2024-01-16-13:58:05.192,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:11.509,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:11.732,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:11.793,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:12.014,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:12.015,SEND,[Unknown SimAct]
2024-01-16-13:58:12.015,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:12.015,SEND,[Unknown SimAct]
2024-01-16-13:58:12.015,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:58:12.016,SEND,SimAct::MODEL_SETTING
2024-01-16-13:58:12.016,RECV,UtilAct::PRIV_ACT
2024-01-16-13:58:12.023,SEND,UtilAct::PRIV_ACT
2024-01-16-13:58:12.028,RECV,SimAct::SET_MASK
2024-01-16-13:58:12.029,SEND,SimAct::SET_MASK
2024-01-16-13:58:12.029,RECV,SimAct::SET_MASK
2024-01-16-13:58:12.030,SEND,SimAct::SET_MASK
2024-01-16-13:58:12.030,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:18.360,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:18.581,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:18.643,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:18.865,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:18.865,SEND,[Unknown SimAct]
2024-01-16-13:58:18.866,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:18.866,SEND,[Unknown SimAct]
2024-01-16-13:58:18.866,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:58:18.866,SEND,SimAct::MODEL_SETTING
2024-01-16-13:58:18.867,RECV,UtilAct::PRIV_ACT
2024-01-16-13:58:18.873,SEND,UtilAct::PRIV_ACT
2024-01-16-13:58:18.879,RECV,SimAct::SET_MASK
2024-01-16-13:58:18.880,SEND,SimAct::SET_MASK
2024-01-16-13:58:18.880,RECV,SimAct::SET_MASK
2024-01-16-13:58:18.880,SEND,SimAct::SET_MASK
2024-01-16-13:58:18.881,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:25.224,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:25.446,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:25.508,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:25.734,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:25.734,SEND,[Unknown SimAct]
2024-01-16-13:58:25.735,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:25.735,SEND,[Unknown SimAct]
2024-01-16-13:58:25.735,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:58:25.735,SEND,SimAct::MODEL_SETTING
2024-01-16-13:58:25.736,RECV,UtilAct::PRIV_ACT
2024-01-16-13:58:25.744,SEND,UtilAct::PRIV_ACT
2024-01-16-13:58:25.750,RECV,SimAct::SET_MASK
2024-01-16-13:58:25.751,SEND,SimAct::SET_MASK
2024-01-16-13:58:25.751,RECV,SimAct::SET_MASK
2024-01-16-13:58:25.751,SEND,SimAct::SET_MASK
2024-01-16-13:58:25.752,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:32.098,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:32.321,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:32.383,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:32.609,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:32.610,SEND,[Unknown SimAct]
2024-01-16-13:58:32.610,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:32.610,SEND,[Unknown SimAct]
2024-01-16-13:58:32.610,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:58:32.611,SEND,SimAct::MODEL_SETTING
2024-01-16-13:58:32.611,RECV,UtilAct::PRIV_ACT
2024-01-16-13:58:32.618,SEND,UtilAct::PRIV_ACT
2024-01-16-13:58:32.625,RECV,SimAct::SET_MASK
2024-01-16-13:58:32.625,SEND,SimAct::SET_MASK
2024-01-16-13:58:32.626,RECV,SimAct::SET_MASK
2024-01-16-13:58:32.626,SEND,SimAct::SET_MASK
2024-01-16-13:58:32.627,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:38.969,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:58:39.190,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:39.251,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:58:39.478,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:39.479,SEND,[Unknown SimAct]
2024-01-16-13:58:39.479,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:58:39.479,SEND,[Unknown SimAct]
2024-01-16-13:58:39.479,RECV,SimAct::UNLOAD_MODEL
2024-01-16-13:58:39.490,SEND,SimAct::UNLOAD_MODEL
